Name	Set	ImageFile	Type	Rarity	Style	Keywords
Black Pop-up	Evolution	eC001	Setup	Common	Black	
Black Inactivity Drill	Evolution	eC002	Drill	Common	Black	
Black Remembrance Drill	Evolution	eC003	Drill	Common	Black	
Black Explosion	Evolution	eC004	Energy Combat	Common	Black	
Black Headbutt	Evolution	eC005	Physical Combat	Common	Black	
Black Impediment	Evolution	eC006	Physical Combat	Common	Black	
Black Protection	Evolution	eC007	Energy Combat	Common	Black	
Black Request	Evolution	eC008	Event	Common	Black	
Black Travelling Punch	Evolution	eC009	Physical Combat	Common	Black	
Blue Cleanse	Evolution	eC010	Setup	Common	Blue	
Blue Counter	Evolution	eC011	Physical Combat	Common	Blue	
Blue Energy Focus	Evolution	eC012	Energy Combat	Common	Blue	
Blue Eye Lasers	Evolution	eC013	Energy Combat	Common	Blue	
Blue Flight	Evolution	eC014	Energy Combat	Common	Blue	
Blue Knee	Evolution	eC015	Physical Combat	Common	Blue	
Blue Shopping	Evolution	eC016	Event	Common	Blue	
Blue Vehicle Destruction	Evolution	eC017	Physical Combat	Common	Blue	
Namekian Reinforced Catch	Evolution	eC018	Setup	Common	Namekian	
Namekian Assistance Drill	Evolution	eC019	Drill	Common	Namekian	
Namekian Cleansing Drill	Evolution	eC020	Drill	Common	Namekian	
Namekian Catch	Evolution	eC021	Physical Combat	Common	Namekian	
Namekian Deflection	Evolution	eC022	Energy Combat	Common	Namekian	
Namekian Door Destruction	Evolution	eC023	Energy Combat	Common	Namekian	
Namekian Elbow Drop	Evolution	eC024	Physical Combat	Common	Namekian	
Namekian Intervention	Evolution	eC025	Energy Combat	Common	Namekian	
Namekian Wrist Strike	Evolution	eC026	Physical Combat	Common	Namekian	
Orange Audience	Evolution	eC027	Setup	Common	Orange	
Orange Intense Training Drill	Evolution	eC028	Drill	Common	Orange	
Orange Investigation Drill	Evolution	eC029	Drill	Common	Orange	
Orange Retrieval Drill	Evolution	eC030	Drill	Common	Orange	
Orange Concealment	Evolution	eC031	Energy Combat	Common	Orange	
Orange Duck	Evolution	eC032	Physical Combat	Common	Orange	
Orange Fracture	Evolution	eC033	Event	Common	Orange	
Orange Ki Blast	Evolution	eC034	Energy Combat	Common	Orange	
Orange Left Punch	Evolution	eC035	Physical Combat	Common	Orange	
Orange Outburst	Evolution	eC036	Event	Common	Orange	
Orange Sideswipe	Evolution	eC037	Physical Combat	Common	Orange	
Orange Upward Strike	Evolution	eC038	Physical Combat	Common	Orange	
Red Examination Drill	Evolution	eC039	Drill	Common	Red	
Red Chop	Evolution	eC040	Physical Combat	Common	Red	
Red Cross Block	Evolution	eC041	Physical Combat	Common	Red	
Red Quick Jab	Evolution	eC042	Physical Combat	Common	Red	
Red Right Knee	Evolution	eC043	Physical Combat	Common	Red	
Red Robotic Blast	Evolution	eC044	Energy Combat	Common	Red	
Red Smash	Evolution	eC045	Physical Combat	Common	Red	
Red Vault	Evolution	eC046	Energy Combat	Common	Red	
Saiyan Flight	Evolution	eC047	Setup	Common	Saiyan	
Saiyan Inspection Drill	Evolution	eC048	Drill	Common	Saiyan	
Saiyan Blockade	Evolution	eC049	Energy Combat	Common	Saiyan	
Saiyan Concussive Blast	Evolution	eC050	Energy Combat	Common	Saiyan	
Saiyan Discovery	Evolution	eC051	Event	Common	Saiyan	
Saiyan Empowered Smash	Evolution	eC052	Energy Combat	Common	Saiyan	
Saiyan Energy Outburst	Evolution	eC053	Energy Combat	Common	Saiyan	
Saiyan Lifting Kick	Evolution	eC054	Physical Combat	Common	Saiyan	
Saiyan Overhead Kick	Evolution	eC055	Physical Combat	Common	Saiyan	
Saiyan Palm Block	Evolution	eC056	Physical Combat	Common	Saiyan	
Saiyan Smack	Evolution	eC057	Physical Combat	Common	Saiyan	
Acquisition Drill	Evolution	eC058	Drill	Common	Freestyle	
Android Superiority	Evolution	eC059	Physical Combat	Common	Freestyle	
Shoulder Slam	Evolution	eC060	Physical Combat	Common	Freestyle	
Black Signal	Evolution	eU061	Setup	Uncommon	Black	
Black Empowered Elbow	Evolution	eU062	Energy Combat	Uncommon	Black	
Black Energy Discharge	Evolution	eU063	Energy Combat	Uncommon	Black	
Black Shoulder Charge	Evolution	eU064	Physical Combat	Uncommon	Black	
Black Tunneling Ball	Evolution	eU065	Energy Combat	Uncommon	Black	
Black Wilt	Evolution	eU066	Event	Uncommon	Black	
Blue Hush	Evolution	eU067	Setup	Uncommon	Blue	
Blue Awakening Drill	Evolution	eU068	Drill	Uncommon	Blue	
Blue Face Grab	Evolution	eU069	Physical Combat	Uncommon	Blue	
Blue Palm Shot	Evolution	eU070	Energy Combat	Uncommon	Blue	
Namekian Aerial Knee	Evolution	eU071	Physical Combat	Uncommon	Namekian	
Namekian Downward Blast	Evolution	eU072	Energy Combat	Uncommon	Namekian	
Namekian Energy Assault	Evolution	eU073	Energy Combat	Uncommon	Namekian	
Namekian Leaping Kick	Evolution	eU074	Physical Combat	Uncommon	Namekian	
Orange Scorn	Evolution	eU075	Setup	Uncommon	Orange	
Red Premonition	Evolution	eU076	Setup	Uncommon	Red	
Red Chest Beam	Evolution	eU077	Energy Combat	Uncommon	Red	
Red Collision	Evolution	eU078	Physical Combat	Uncommon	Red	
Red Forceful Strike	Evolution	eU079	Physical Combat	Uncommon	Red	
Red Intense Blast	Evolution	eU080	Energy Combat	Uncommon	Red	
Saiyan Empowered Slide	Evolution	eU081	Energy Combat	Uncommon	Saiyan	
Saiyan Fierce Kick	Evolution	eU082	Physical Combat	Uncommon	Saiyan	
Saiyan Interruption	Evolution	eU083	Event	Uncommon	Saiyan	
Saiyan Sword Strike	Evolution	eU084	Physical Combat	Uncommon	Saiyan	
Android 19 -- Stoic	Evolution	eU085	Main Personality	Uncommon	Villain	Level 1
Android 19 -- Pondering	Evolution	eU086	Main Personality	Uncommon	Villain	Level 2
Android 19 -- Unimpressed	Evolution	eU087	Main Personality	Uncommon	Villain	Level 3
Android 19 -- Patient	Evolution	eU088	Main Personality	Uncommon	Villain	Level 4
Android 20 -- Focused	Evolution	eU089	Main Personality	Uncommon	Villain	Level 1
Android 20 -- Unfazed	Evolution	eU090	Main Personality	Uncommon	Villain	Level 2
Android 20 -- Surprised	Evolution	eU091	Main Personality	Uncommon	Villain	Level 3
