Name	Set	ImageFile	Type	Rarity	Style	Keywords
Nail -- Watchful	HeroesAndVillains	havC001	Main Personality	Common	Hero	Level 1
Nail -- Protector	HeroesAndVillains	havC002	Main Personality	Common	Hero	Level 2
Nappa -- Rested	HeroesAndVillains	havC003	Main Personality	Common	Villain	Level 1
Nappa -- Smirking	HeroesAndVillains	havC004	Main Personality	Common	Villain	Level 2
Raditz -- True Saiyan	HeroesAndVillains	havC005	Main Personality	Common	Villain	Level 1
Raditz -- Confident	HeroesAndVillains	havC006	Main Personality	Common	Villain	Level 2
Tenshinhan -- Patient	HeroesAndVillains	havC007	Main Personality	Common	Hero	Level 1
Tenshinhan -- Stubborn	HeroesAndVillains	havC008	Main Personality	Common	Hero	Level 2
Captain Ginyu -- Aggressive	HeroesAndVillains	havC009	Ally	Common	Villain	Level 1
Dodoria -- Lackey	HeroesAndVillains	havC010	Ally	Common	Villain	Level 1
Frieza -- Mastermind	HeroesAndVillains	havC011	Ally	Common	Villain	Level 1
Gohan -- Trained	HeroesAndVillains	havC012	Ally	Common	Hero	Level 1
Krillin -- Supportive	HeroesAndVillains	havC013	Ally	Common	Hero	Level 1
Zarbon -- Loyal Servant	HeroesAndVillains	havC014	Ally	Common	Villain	Level 1
Black Radiating Drill	HeroesAndVillains	havC015	Drill	Common	Black	
Black Barrier Destruction	HeroesAndVillains	havC016	Event	Common	Black	
Black Evasion	HeroesAndVillains	havC017	Energy Combat	Common	Black	
Black Fist Lock	HeroesAndVillains	havC018	Physical Combat	Common	Black	
Black Overpowering Attack	HeroesAndVillains	havC019	Physical Combat	Common	Black	
Black Chomp	HeroesAndVillains	havC020	Physical Combat	Common	Black	
Black Refusal	HeroesAndVillains	havC021	Physical Combat	Common	Black	
Black Hair Trap	HeroesAndVillains	havC022	Physical Combat	Common	Black	
Blue Lifting Drill	HeroesAndVillains	havC023	Drill	Common	Blue	
Blue Cover Up	HeroesAndVillains	havC024	Event	Common	Blue	
Blue Fear	HeroesAndVillains	havC025	Event	Common	Blue	
Blue Bat Attack	HeroesAndVillains	havC026	Physical Combat	Common	Blue	
Blue Determined Attack	HeroesAndVillains	havC027	Physical Combat	Common	Blue	
Blue Hand Blast	HeroesAndVillains	havC028	Energy Combat	Common	Blue	
Blue Glare	HeroesAndVillains	havC029	Energy Combat	Common	Blue	
Namekian Self-training	HeroesAndVillains	havC030	Setup	Common	Namekian	
Namekian Forearm Block	HeroesAndVillains	havC031	Physical Combat	Common	Namekian	
Namekian Chin Grab	HeroesAndVillains	havC032	Physical Combat	Common	Namekian	
Namekian Lift	HeroesAndVillains	havC033	Physical Combat	Common	Namekian	
Namekian Short Kick	HeroesAndVillains	havC034	Physical Combat	Common	Namekian	
Namekian Energy Beams	HeroesAndVillains	havC035	Energy Combat	Common	Namekian	
Namekian Quick Shot	HeroesAndVillains	havC036	Energy Combat	Common	Namekian	
Orange Driving Drill	HeroesAndVillains	havC037	Drill	Common	Orange	
Orange Torching Drill	HeroesAndVillains	havC038	Drill	Common	Orange	
Orange Calming Drill	HeroesAndVillains	havC039	Drill	Common	Orange	
Orange Crashing Drill	HeroesAndVillains	havC040	Drill	Common	Orange	
Orange Energy Bubble	HeroesAndVillains	havC041	Event	Common	Orange	
Orange Nudge	HeroesAndVillains	havC042	Energy Combat	Common	Orange	
Orange Double Palm Beam	HeroesAndVillains	havC043	Energy Combat	Common	Orange	
Red Destiny	HeroesAndVillains	havC044	Setup	Common	Red	
Red Emergency	HeroesAndVillains	havC045	Event	Common	Red	
Red Containment	HeroesAndVillains	havC046	Event	Common	Red	
Red Sacrifice	HeroesAndVillains	havC047	Energy Combat	Common	Red	
