Name	Set	ImageFile	Type	Rarity	Style	Keywords
Kami -- Guardian	MovieCollection	mcC001	Ally	Common	Hero	Level 1
Master Roshi -- Scouted	MovieCollection	mcC002	Ally	Common	Hero	Level 1
Oolong -- Concerned	MovieCollection	mcC003	Ally	Common	Hero	Level 1
Yajirobe -- Bundled	MovieCollection	mcC004	Ally	Common	Hero	Level 1
Dr. Wheelo -- Intelligent	MovieCollection	mcC005	Ally	Common	Villain	Level 1
Garlic Jr. -- Confrontational	MovieCollection	mcC006	Ally	Common	Villain	Level 1
Lord Slug -- Amazed	MovieCollection	mcC007	Ally	Common	Villain	Level 1
Turles -- Fighter	MovieCollection	mcC008	Ally	Common	Villain	Level 1
Black Amusement Drill	MovieCollection	mcC009	Drill	Common	Black	
Black Chopping Drill	MovieCollection	mcC010	Drill	Common	Black	
Black Blinding Burst	MovieCollection	mcC011	Energy Combat	Common	Black	
Black Dense Ball	MovieCollection	mcC012	Energy Combat	Common	Black	
Black Dismissal	MovieCollection	mcC013	Physical Combat	Common	Black	
Black Flying Knee	MovieCollection	mcC014	Physical Combat	Common	Black	
Black Resistance	MovieCollection	mcC015	Energy Combat	Common	Black	
Black Stop	MovieCollection	mcC016	Physical Combat	Common	Black	
Blue Minions	MovieCollection	mcC017	Setup	Common	Blue	
Blue Escaping Drill	MovieCollection	mcC018	Drill	Common	Blue	
Blue Barrier	MovieCollection	mcC019	Energy Combat	Common	Blue	
Blue Encircled Strike	MovieCollection	mcC020	Physical Combat	Common	Blue	
Blue Floating Beam	MovieCollection	mcC021	Energy Combat	Common	Blue	
Blue Rejection	MovieCollection	mcC022	Energy Combat	Common	Blue	
Blue Safeguard	MovieCollection	mcC023	Physical Combat	Common	Blue	
Blue Slash	MovieCollection	mcC024	Physical Combat	Common	Blue	
Namekian Reinforced Drill	MovieCollection	mcC025	Drill	Common	Namekian	
Namekian Choke	MovieCollection	mcC026	Physical Combat	Common	Namekian	
Namekian Clench	MovieCollection	mcC027	Physical Combat	Common	Namekian	
Namekian Mouth Beam	MovieCollection	mcC028	Energy Combat	Common	Namekian	
Namekian Reinforced Block	MovieCollection	mcC029	Physical Combat	Common	Namekian	
Namekian Reinforced Defense	MovieCollection	mcC030	Energy Combat	Common	Namekian	
Namekian Reinforced Charge	MovieCollection	mcC031	Event	Common	Namekian	
Namekian Reinforced Jab	MovieCollection	mcC032	Physical Combat	Common	Namekian	
Namekian Right Burst	MovieCollection	mcC033	Energy Combat	Common	Namekian	
Orange Disaster Drill	MovieCollection	mcC034	Drill	Common	Orange	
Orange Confidence	MovieCollection	mcC035	Physical Combat	Common	Orange	
Orange Desperation	MovieCollection	mcC036	Event	Common	Orange	
