Name	Set	ImageFile	Type	Rarity	Style	Keywords
Vegeta -- Prince of Saiyans	Premiere	s001	Main Personality	Starter	Hero	Level 1
Vegeta -- Villainous	Premiere	s002	Main Personality	Starter	Villain	Level 2
Vegeta -- Empowered	Premiere	s003	Main Personality	Starter	Villain	Level 3
Vegeta -- Renewed	Premiere	s004	Main Personality	Starter	Villain	Level 4
Goku -- Protector of Earth	Premiere	s005	Main Personality	Starter	Hero	Level 1
Goku -- Kaio-Ken Enhanced	Premiere	s006	Main Personality	Starter	Hero	Level 2
Goku -- Energy Gatherer	Premiere	s007	Main Personality	Starter	Hero	Level 3
Goku -- Super Saiyan	Premiere	s008	Main Personality	Starter	Hero	Level 4
Gohan -- Resilient Child	Premiere	s009	Main Personality	Starter	Hero	Level 1
Gohan -- Young Warrior	Premiere	s010	Main Personality	Starter	Hero	Level 2
Gohan -- Determined	Premiere	s011	Main Personality	Starter	Hero	Level 3
Gohan -- Armored	Premiere	s012	Main Personality	Starter	Hero	Level 4
Krillin -- Ready	Premiere	s013	Main Personality	Starter	Hero	Level 1
Krillin -- Energetic	Premiere	s014	Main Personality	Starter	Hero	Level 2
Krillin -- Ready For Battle	Premiere	s015	Main Personality	Starter	Hero	Level 3
Krillin -- Enraged	Premiere	s016	Main Personality	Starter	Hero	Level 4
Frieza -- Tyrant	Premiere	s017	Main Personality	Starter	Villain	Level 1
Frieza -- Transformed	Premiere	s018	Main Personality	Starter	Villain	Level 2
Frieza -- Galactic Conquerer	Premiere	s019	Main Personality	Starter	Villain	Level 3
Frieza -- Revived	Premiere	s020	Main Personality	Starter	Villain	Level 4
Piccolo -- Stoic	Premiere	s021	Main Personality	Starter	Hero	Level 1
Piccolo -- Combat Stance	Premiere	s022	Main Personality	Starter	Hero	Level 2
Piccolo -- Unleashed	Premiere	s023	Main Personality	Starter	Hero	Level 3
Piccolo -- Fused	Premiere	s024	Main Personality	Starter	Hero	Level 4
